section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,daily_train_count,criticality_score,last_computed_at
54,KEM_BLNI,KEM,KEM,BLNI,BHALWANI,2,0.2074,2026-09-01 07:15:16.854274
55,KGP_GMDN,KGP,KHARAGPUR,GMDN,GIRI MAIDAN,25,0.6149,2026-09-01 07:15:16.854274
56,MTJ_BSA,MTJ,MATHURA JN.,BSA,BHAINSA,3,0.2616,2026-09-01 07:15:16.854274
57,GTWD_SDHR,GTWD,GHATWAD,SDHR,SANDHANI DHA,1,0.1308,2026-09-01 07:15:16.854274
58,IPL_AWY,IPL,IDAPPALLI,AWY,ALWAYE,3,0.2616,2026-09-01 07:15:16.854274
59,BGRM_STNR,BGRM,BIGGABAS RAM,STNR,SITALNAGAR,4,0.3038,2026-09-01 07:15:16.854274
60,VDD_VKI,VDD,VENDODU,VKI,VENKATAGIRI,6,0.3673,2026-09-01 07:15:16.854274
61,BIRD_KYN,BIRD,BHIWANDI ROA,KYN,KALYAN JN,13,0.4981,2026-09-01 07:15:16.854274
62,VD_RA,VD,VADADIYA,RA,RAMPARDA,3,0.2616,2026-09-01 07:15:16.854274
63,SAWN_LHU,SAWN,SOHANSRA,LHU,LOHARU JN,7,0.3925,2026-09-01 07:15:16.854274
64,NBR_PDKN,NBR,NAMBURU,PDKN,PEDAKAKANI H,10,0.4526,2026-09-01 07:15:16.854274
65,RCD_DKAE,RCD,RAJCHANDRAPU,DKAE,DANKUNI JN.,23,0.5998,2026-09-01 07:15:16.854274
66,GEDE_HRSR,GEDE,GEDE,HRSR,HARISH NAGAR,19,0.5654,2026-09-01 07:15:16.854274
67,PHN_BZM,PHN,POKHRAYAN,BZM,BHIMSEN,2,0.2074,2026-09-01 07:15:16.854274
68,BBA_ALJN,BBA,BABRALA,ALJN,ALIGARH JN.,1,0.1308,2026-09-01 07:15:16.854274
69,BIG_KGB,BIG,BELGAHNA,KGB,KARGI ROAD,3,0.2616,2026-09-01 07:15:16.854274
70,BUX_MJRI,BUX,BHANDAK,MJRI,MAJRI JN.,2,0.2074,2026-09-01 07:15:16.854274
71,TCL_BWT,TCL,TYAKAL,BWT,BANGARPET JN,13,0.4981,2026-09-01 07:15:16.854274
